(0, 1, 200)
(0, 5, 50)
(1, 2, 78)
(1, 6, 123)
(2, 3, 760)
(2, 7, 45)
(3, 4, 589)
(3, 8, 23)
(4, 9, 100)
(5, 6, 345)
(5, 10, 678)
(6, 7, 33)
(6, 11, 12)
(7, 8, 5)
(7, 12, 7)
(8, 9, 13)
(8, 13, 174)
(9, 14, 86)
(10, 11, 94)
(10, 15, 300)
(11, 12, 301)
(11, 16, 558)
(12, 13, 36)
(12, 17,64)
(13, 14, 92)
(13, 18, 85)
(14, 19, 17)
(15, 16, 24)
(15, 20, 66)
(16, 17, 102)
(16, 21, 230)
(17, 18, 391)
(17, 22, 111)
(18, 19, 70)
(18, 23, 10)
(19, 24, 15)
(20, 21, 119)
(21, 22, 205)
(22, 23, 198)
(23, 24, 333)
